Player,Age,Tm,MP,TRB,AST,STL,BLK,PS/G,PER,TS%,USG%,Year,box,W/L%,playoffs,Share,got_votes,gp_pct
Stephen Curry,27,GSW,34.2,5.4,6.7,2.1,0.2,30.1,31.5,0.669,32.6,2016,14.4,0.89,1,1.0,1,0.9634146341463414
Shaquille O'Neal,27,LAL,40.0,13.6,3.8,0.5,3.0,29.7,30.6,0.578,31.2,2000,20.9,0.8170000000000001,1,0.998,1,0.9634146341463414
LeBron James,28,MIA,37.9,8.0,7.3,1.7,0.9,26.8,31.6,0.64,30.2,2013,17.9,0.805,1,0.998,1,0.926829268292683
Kevin Garnett,27,MIN,39.4,13.9,5.0,1.5,2.2,24.2,29.4,0.547,29.6,2004,22.599999999999998,0.7070000000000001,1,0.991,1,1.0
Kevin Durant,25,OKC,38.5,7.4,5.5,1.3,0.7,32.0,29.8,0.635,33.0,2014,14.9,0.72,1,0.986,1,0.9878048780487805
LeBron James,25,CLE,39.0,7.3,8.6,1.6,1.0,29.7,31.1,0.604,33.5,2010,18.5,0.7440000000000001,1,0.98,1,0.926829268292683
Derrick Rose,22,CHI,37.4,4.1,7.7,1.0,0.6,25.0,23.5,0.55,32.2,2011,13.4,0.7559999999999999,1,0.977,1,0.9878048780487805
LeBron James,24,CLE,37.7,7.6,7.2,1.7,1.1,28.4,31.7,0.591,33.8,2009,17.6,0.805,1,0.9690000000000001,1,0.9878048780487805
Stephen Curry,26,GSW,32.7,4.3,7.7,2.0,0.2,23.8,28.0,0.638,28.9,2015,14.2,0.8170000000000001,1,0.922,1,0.975609756097561
Allen Iverson,25,PHI,42.0,3.8,4.6,2.5,0.3,31.1,24.0,0.518,35.9,2001,11.2,0.6829999999999999,1,0.904,1,0.8658536585365854
LeBron James,27,MIA,37.5,7.9,6.2,1.9,0.8,27.1,30.7,0.605,32.0,2012,16.8,0.6970000000000001,1,0.888,1,0.9393939393939394
Dirk Nowitzki,28,DAL,36.2,8.9,3.4,0.7,0.8,24.6,27.6,0.605,28.9,2007,13.8,0.8170000000000001,1,0.882,1,0.9512195121951219
Kobe Bryant,29,LAL,38.9,6.3,5.4,1.8,0.5,28.3,24.2,0.5760000000000001,31.4,2008,14.0,0.695,1,0.877,1,1.0
Steve Nash,30,PHO,34.3,3.3,11.5,1.0,0.1,15.5,22.0,0.606,20.5,2005,15.9,0.7559999999999999,1,0.8390000000000001,1,0.9146341463414634
Shaquille O'Neal,32,MIA,34.1,10.4,2.7,0.5,2.3,22.9,27.0,0.583,30.5,2005,15.900000000000002,0.72,1,0.813,1,0.8902439024390244
Tim Duncan,26,SAS,39.3,12.9,3.9,0.7,2.9,23.3,26.9,0.564,28.0,2003,20.4,0.732,1,0.8079999999999999,1,0.9878048780487805
Steve Nash,32,PHO,35.3,3.5,11.6,0.8,0.1,18.6,23.8,0.654,22.9,2007,16.0,0.7440000000000001,1,0.785,1,0.926829268292683
Tim Duncan,25,SAS,40.6,12.7,3.7,0.7,2.5,25.5,27.0,0.5760000000000001,29.0,2002,19.599999999999998,0.7070000000000001,1,0.757,1,1.0
Steve Nash,31,PHO,35.4,4.2,10.5,0.8,0.2,18.8,23.3,0.632,23.3,2006,15.7,0.659,1,0.7390000000000001,1,0.9634146341463414
Kevin Durant,23,OKC,38.6,8.0,3.5,1.3,1.2,28.0,26.2,0.61,31.3,2012,14.0,0.7120000000000001,1,0.735,1,1.0
Kevin Garnett,26,MIN,40.5,13.4,6.0,1.4,1.6,23.0,26.4,0.5529999999999999,26.4,2003,22.4,0.622,1,0.732,1,1.0
James Harden,25,HOU,36.8,5.7,7.0,1.9,0.7,27.4,26.7,0.605,31.3,2015,15.299999999999999,0.6829999999999999,1,0.72,1,0.9878048780487805
LeBron James,29,MIA,37.7,6.9,6.3,1.6,0.3,27.1,29.3,0.649,31.0,2014,15.1,0.659,1,0.713,1,0.9390243902439024
Jason Kidd,28,NJN,37.3,7.3,9.9,2.1,0.2,14.7,19.1,0.484,22.5,2002,19.5,0.634,1,0.7120000000000001,1,1.0
Chris Paul,22,NOH,37.6,4.0,11.6,2.7,0.1,21.1,28.3,0.5760000000000001,25.7,2008,18.400000000000002,0.6829999999999999,1,0.706,1,0.975609756097561
Kevin Durant,24,OKC,38.5,7.9,4.6,1.4,1.3,28.1,28.3,0.647,29.8,2013,15.200000000000001,0.732,1,0.632,1,0.9878048780487805
Tim Duncan,27,SAS,36.6,12.4,3.1,0.9,2.7,22.3,27.1,0.534,29.7,2004,19.099999999999998,0.695,1,0.5820000000000001,1,0.8414634146341463
Kobe Bryant,30,LAL,36.1,5.2,4.9,1.5,0.5,26.8,24.4,0.561,32.2,2009,12.100000000000001,0.7929999999999999,1,0.5770000000000001,1,1.0
Tim Duncan,24,SAS,38.7,12.2,3.0,0.9,2.3,22.2,23.8,0.536,28.7,2001,18.4,0.7070000000000001,1,0.569,1,1.0
Dwyane Wade,27,MIA,38.6,5.0,7.5,2.2,1.3,30.2,30.4,0.574,36.2,2009,16.0,0.524,1,0.562,1,0.9634146341463414
Shaquille O'Neal,29,LAL,36.1,10.7,3.0,0.6,2.0,27.2,29.7,0.59,31.8,2002,16.299999999999997,0.7070000000000001,1,0.552,1,0.8170731707317073
LeBron James,21,CLE,42.5,7.0,6.6,1.6,0.8,31.4,28.1,0.568,33.6,2006,16.0,0.61,1,0.55,1,0.9634146341463414
Kevin Garnett,31,BOS,32.8,9.2,3.4,1.4,1.3,18.8,25.3,0.588,25.5,2008,15.3,0.805,1,0.532,1,0.8658536585365854
Dwight Howard,25,ORL,37.6,14.1,1.4,1.4,2.4,22.9,26.1,0.616,27.2,2011,19.299999999999997,0.634,1,0.531,1,0.9512195121951219
Kevin Durant,21,OKC,39.5,7.6,2.8,1.4,1.0,30.1,26.2,0.607,32.0,2010,12.799999999999999,0.61,1,0.495,1,1.0
Kobe Bryant,31,LAL,38.8,5.4,5.0,1.5,0.3,27.0,21.9,0.545,32.3,2010,12.200000000000001,0.695,1,0.48700000000000004,1,0.8902439024390244
Kawhi Leonard,24,SAS,33.1,6.8,2.6,1.8,1.0,21.2,26.0,0.616,25.8,2016,12.200000000000001,0.8170000000000001,1,0.484,1,0.8780487804878049
LeBron James,31,CLE,35.6,7.4,6.8,1.4,0.6,25.3,27.5,0.588,31.4,2016,16.2,0.695,1,0.48200000000000004,1,0.926829268292683
Shaquille O'Neal,28,LAL,39.5,12.7,3.7,0.6,2.8,28.7,30.2,0.574,31.6,2001,19.8,0.6829999999999999,1,0.466,1,0.9024390243902439
Dirk Nowitzki,27,DAL,38.1,9.0,2.8,0.7,1.0,26.6,28.1,0.589,30.0,2006,13.5,0.732,1,0.435,1,0.9878048780487805
LeBron James,26,MIA,38.8,7.5,7.0,1.6,0.6,26.7,27.3,0.594,31.5,2011,16.700000000000003,0.7070000000000001,1,0.431,1,0.9634146341463414
LeBron James,30,CLE,36.1,6.0,7.4,1.6,0.7,25.3,25.9,0.5770000000000001,32.3,2015,15.7,0.6459999999999999,1,0.425,1,0.8414634146341463
Jermaine O'Neal,25,IND,35.7,10.0,2.1,0.8,2.6,20.1,21.1,0.489,30.2,2004,15.5,0.7440000000000001,1,0.425,1,0.9512195121951219
Chris Webber,27,SAC,40.5,11.1,4.2,1.3,1.7,27.1,24.7,0.516,31.6,2001,18.3,0.6709999999999999,1,0.42,1,0.8536585365853658
Kobe Bryant,24,LAL,41.5,6.9,5.9,2.2,0.8,30.0,26.2,0.55,32.9,2003,15.8,0.61,1,0.41700000000000004,1,1.0
Kobe Bryant,28,LAL,40.8,5.7,5.4,1.4,0.5,31.6,26.1,0.58,33.6,2007,13.000000000000002,0.512,1,0.40399999999999997,1,0.9390243902439024
Carmelo Anthony,28,NYK,37.0,6.9,2.6,0.8,0.5,28.7,24.8,0.56,35.6,2013,10.8,0.659,1,0.39299999999999996,1,0.8170731707317073
Dwight Howard,24,ORL,34.7,13.2,1.8,0.9,2.8,18.3,24.0,0.63,23.9,2010,18.7,0.72,1,0.389,1,1.0
Kobe Bryant,27,LAL,41.0,5.3,4.5,1.8,0.4,35.4,28.0,0.5589999999999999,38.7,2006,12.000000000000002,0.5489999999999999,1,0.386,1,0.975609756097561
Russell Westbrook,27,OKC,34.4,7.8,10.4,2.0,0.3,23.5,27.6,0.5539999999999999,31.6,2016,20.5,0.6709999999999999,1,0.371,1,0.975609756097561
Tracy McGrady,23,ORL,39.4,6.5,5.5,1.7,0.8,32.1,30.3,0.564,35.2,2003,14.5,0.512,1,0.359,1,0.9146341463414634
Kobe Bryant,32,LAL,33.9,5.1,4.7,1.2,0.1,25.3,23.9,0.5479999999999999,35.1,2011,11.1,0.695,1,0.354,1,1.0
LeBron James,23,CLE,40.4,7.9,7.2,1.8,1.1,30.0,29.1,0.568,33.5,2008,18.000000000000004,0.5489999999999999,1,0.348,1,0.9146341463414634
Blake Griffin,24,LAC,35.8,9.5,3.9,1.2,0.6,24.1,23.9,0.583,29.0,2014,15.2,0.695,1,0.34700000000000003,1,0.975609756097561
Chauncey Billups,29,DET,36.1,3.1,8.6,0.9,0.1,18.5,23.4,0.602,22.9,2006,12.7,0.78,1,0.344,1,0.9878048780487805
Kevin Garnett,23,MIN,40.0,11.8,5.0,1.5,1.6,22.9,23.6,0.545,27.4,2000,19.900000000000002,0.61,1,0.337,1,0.9878048780487805
Chris Paul,26,LAC,36.4,3.6,9.1,2.5,0.1,19.8,27.0,0.581,24.3,2012,15.299999999999999,0.606,1,0.318,1,0.9090909090909091
Tracy McGrady,22,ORL,38.3,7.9,5.3,1.6,1.0,25.6,25.1,0.532,31.1,2002,15.799999999999999,0.537,1,0.31,1,0.926829268292683
Alonzo Mourning,29,MIA,34.8,9.5,1.6,0.5,3.7,21.7,25.8,0.596,28.1,2000,15.3,0.634,1,0.303,1,0.9634146341463414
Kobe Bryant,33,LAL,38.5,5.4,4.6,1.2,0.3,27.9,21.9,0.527,35.7,2012,11.5,0.621,1,0.29100000000000004,1,0.8787878787878788
Dirk Nowitzki,26,DAL,38.7,9.7,3.1,1.2,1.5,26.1,26.1,0.578,28.7,2005,15.499999999999998,0.7070000000000001,1,0.275,1,0.9512195121951219
Tony Parker,29,SAS,32.1,2.9,7.7,1.0,0.1,18.3,22.0,0.539,27.7,2012,11.7,0.758,1,0.27399999999999997,1,0.9090909090909091
Dwight Howard,23,ORL,35.7,13.8,1.4,1.0,2.9,20.6,25.4,0.6,26.1,2009,19.1,0.72,1,0.271,1,0.9634146341463414
Russell Westbrook,26,OKC,34.4,7.3,8.6,2.1,0.2,28.1,29.1,0.536,38.4,2015,18.2,0.5489999999999999,0,0.271,1,0.8170731707317073
Karl Malone,36,UTA,35.9,9.5,3.7,1.0,0.9,25.5,27.1,0.5820000000000001,31.9,2000,15.1,0.6709999999999999,1,0.258,1,1.0
Joakim Noah,28,CHI,35.3,11.3,5.4,1.2,1.5,12.6,20.0,0.531,18.7,2014,19.400000000000002,0.585,1,0.258,1,0.975609756097561
Tim Duncan,28,SAS,33.4,11.1,2.7,0.7,2.6,20.3,27.0,0.54,28.9,2005,17.1,0.72,1,0.258,1,0.8048780487804879
Chris Paul,27,LAC,33.4,3.7,9.7,2.4,0.1,16.9,26.4,0.594,22.6,2013,15.899999999999999,0.6829999999999999,1,0.239,1,0.8536585365853658
Peja Stojakovic,26,SAC,40.3,6.3,2.1,1.3,0.2,24.2,21.8,0.624,23.9,2004,9.9,0.6709999999999999,1,0.228,1,0.9878048780487805
Tim Duncan,30,SAS,34.1,10.6,3.4,0.8,2.4,20.0,26.1,0.579,27.9,2007,17.2,0.7070000000000001,1,0.222,1,0.975609756097561
Tim Duncan,23,SAS,38.9,12.4,3.2,0.9,2.2,23.2,24.8,0.555,28.7,2000,18.7,0.6459999999999999,1,0.205,1,0.9024390243902439
Allen Iverson,29,PHI,42.3,4.0,7.9,2.4,0.1,30.7,23.2,0.532,35.0,2005,14.4,0.524,1,0.18899999999999997,1,0.9146341463414634
Kobe Bryant,25,LAL,37.6,5.5,5.1,1.7,0.4,24.0,23.7,0.551,29.1,2004,12.7,0.6829999999999999,1,0.172,1,0.7926829268292683
Chris Paul,23,NOH,38.5,5.5,11.0,2.8,0.1,22.8,30.0,0.599,27.5,2009,19.400000000000002,0.598,1,0.159,1,0.9512195121951219
Kevin Durant,22,OKC,38.9,6.8,2.7,1.1,1.0,27.7,23.6,0.589,30.6,2011,11.6,0.6709999999999999,1,0.157,1,0.9512195121951219
Anthony Davis,21,NOP,36.1,10.2,2.2,1.5,2.9,24.4,30.8,0.591,27.8,2015,16.799999999999997,0.5489999999999999,1,0.156,1,0.8292682926829268
Kobe Bryant,34,LAL,38.6,5.6,6.0,1.4,0.3,27.3,23.0,0.57,31.9,2013,13.3,0.5489999999999999,1,0.152,1,0.9512195121951219
Gary Payton,31,SEA,41.8,6.5,8.9,1.9,0.2,24.2,23.6,0.535,26.8,2000,17.5,0.5489999999999999,1,0.149,1,1.0
Shaquille O'Neal,31,LAL,36.8,11.5,2.9,0.5,2.5,21.5,24.4,0.578,26.3,2004,17.4,0.6829999999999999,1,0.145,1,0.8170731707317073
LeBron James,22,CLE,40.9,6.7,6.0,1.6,0.7,27.3,24.5,0.552,31.0,2007,14.999999999999998,0.61,1,0.142,1,0.9512195121951219
Kevin Garnett,24,MIN,39.5,11.4,5.0,1.4,1.8,22.0,23.9,0.531,27.0,2001,19.599999999999998,0.573,1,0.122,1,0.9878048780487805
Kevin Durant,27,OKC,35.8,8.2,5.0,1.0,1.2,28.2,28.2,0.634,30.6,2016,15.399999999999999,0.6709999999999999,1,0.11199999999999999,1,0.8780487804878049
Allen Iverson,24,PHI,40.8,3.8,4.7,2.1,0.1,28.4,20.0,0.496,34.4,2000,10.7,0.598,1,0.109,1,0.8536585365853658
Shaquille O'Neal,30,LAL,37.8,11.1,3.1,0.6,2.4,27.5,29.5,0.602,30.2,2003,17.2,0.61,1,0.106,1,0.8170731707317073
Dwyane Wade,28,MIA,36.3,4.8,6.5,1.8,1.1,26.6,28.0,0.562,34.9,2010,14.200000000000001,0.573,1,0.09699999999999999,1,0.9390243902439024
Chris Paul,29,LAC,34.8,4.6,10.2,1.9,0.2,19.1,26.0,0.596,23.7,2015,16.9,0.6829999999999999,1,0.095,1,1.0
Dirk Nowitzki,32,DAL,34.3,7.0,2.6,0.5,0.6,23.0,23.4,0.612,28.2,2011,10.7,0.695,1,0.09300000000000001,1,0.8902439024390244
Grant Hill,27,DET,37.5,6.6,5.2,1.4,0.6,25.8,24.5,0.565,30.5,2000,13.8,0.512,1,0.09300000000000001,1,0.9024390243902439
Tracy McGrady,27,HOU,35.8,5.3,6.5,1.3,0.5,24.6,23.2,0.515,35.0,2007,13.600000000000001,0.634,1,0.085,1,0.8658536585365854
Chris Paul,30,LAC,32.7,4.2,10.0,2.1,0.2,19.5,26.2,0.575,27.1,2016,16.5,0.6459999999999999,1,0.08199999999999999,1,0.9024390243902439
Chris Webber,26,SAC,38.4,10.5,4.6,1.6,1.7,24.5,23.4,0.53,28.2,2000,18.4,0.537,1,0.079,1,0.9146341463414634
Kobe Bryant,23,LAL,38.3,5.5,5.5,1.5,0.4,25.2,23.2,0.544,30.4,2002,12.9,0.7070000000000001,1,0.078,1,0.975609756097561
LeBron James,20,CLE,42.4,7.4,7.2,2.2,0.7,27.2,25.7,0.5539999999999999,29.7,2005,17.5,0.512,0,0.073,1,0.975609756097561
Tony Parker,30,SAS,32.9,3.0,7.6,0.8,0.1,20.3,23.0,0.588,27.7,2013,11.5,0.7070000000000001,1,0.071,1,0.8048780487804879
Allen Iverson,27,PHI,42.5,4.2,5.5,2.7,0.2,27.6,21.2,0.5,32.9,2003,12.599999999999998,0.585,1,0.07,1,1.0
Dwyane Wade,24,MIA,38.6,5.7,6.7,1.9,0.8,27.2,27.6,0.5770000000000001,32.5,2006,15.100000000000001,0.634,1,0.07,1,0.9146341463414634
James Harden,24,HOU,38.0,4.7,6.1,1.6,0.4,25.4,23.5,0.618,27.8,2014,12.8,0.659,1,0.068,1,0.8902439024390244
Tim Duncan,36,SAS,30.1,9.9,2.7,0.7,2.7,17.8,24.4,0.5539999999999999,27.8,2013,16.0,0.7070000000000001,1,0.054000000000000006,1,0.8414634146341463
Stephen Curry,25,GSW,36.5,4.3,8.5,1.6,0.2,24.0,24.1,0.61,28.3,2014,14.6,0.622,1,0.053,1,0.9512195121951219
Carmelo Anthony,25,DEN,38.2,6.6,3.2,1.3,0.4,28.2,22.2,0.5479999999999999,33.4,2010,11.500000000000002,0.6459999999999999,1,0.053,1,0.8414634146341463
Tracy McGrady,21,ORL,40.1,7.5,4.6,1.5,1.5,26.8,24.9,0.521,31.2,2001,15.1,0.524,1,0.052000000000000005,1,0.9390243902439024
Dwight Howard,22,ORL,37.7,14.2,1.3,0.9,2.1,20.7,22.9,0.619,24.2,2008,18.5,0.634,1,0.048,1,1.0
Kevin Love,23,MIN,39.0,13.3,2.0,0.9,0.5,26.0,25.4,0.568,28.8,2012,16.7,0.39399999999999996,0,0.048,1,0.8333333333333334
Dirk Nowitzki,31,DAL,37.5,7.7,2.7,0.9,1.0,25.0,22.9,0.578,28.8,2010,12.3,0.6709999999999999,1,0.045,1,0.9878048780487805
Gary Payton,33,SEA,40.3,4.8,9.0,1.6,0.3,22.1,22.9,0.526,27.2,2002,15.700000000000001,0.5489999999999999,1,0.043,1,1.0
Vince Carter,23,TOR,38.1,5.8,3.9,1.3,1.1,25.7,23.4,0.5429999999999999,30.0,2000,12.1,0.5489999999999999,1,0.042,1,1.0
Elton Brand,26,LAC,39.2,10.0,2.6,1.0,2.5,24.7,26.5,0.58,27.7,2006,16.1,0.573,1,0.04,1,0.9634146341463414
Steve Nash,35,PHO,32.8,3.3,11.0,0.5,0.1,16.5,21.6,0.615,22.9,2010,14.9,0.659,1,0.04,1,0.9878048780487805
Draymond Green,25,GSW,34.7,9.5,7.4,1.5,1.4,14.0,19.3,0.5870000000000001,18.8,2016,19.799999999999997,0.89,1,0.038,1,0.9878048780487805
Chris Paul,28,LAC,35.0,4.3,10.7,2.5,0.1,19.1,25.9,0.58,23.7,2014,17.6,0.695,1,0.036000000000000004,1,0.7560975609756098
Dirk Nowitzki,24,DAL,39.0,9.9,3.0,1.4,1.0,25.1,25.6,0.581,27.4,2003,15.3,0.732,1,0.036000000000000004,1,0.975609756097561
Tracy McGrady,25,HOU,40.8,6.2,5.7,1.7,0.7,25.7,22.9,0.526,31.2,2005,14.299999999999999,0.622,1,0.035,1,0.9512195121951219
Dwyane Wade,23,MIA,38.6,5.2,6.8,1.6,1.1,24.1,23.1,0.561,30.9,2005,14.7,0.72,1,0.034,1,0.9390243902439024
Chris Bosh,22,TOR,38.5,10.7,2.5,0.6,1.3,22.6,22.6,0.5770000000000001,26.7,2007,15.1,0.573,1,0.033,1,0.8414634146341463
Ray Allen,29,SEA,39.3,4.4,3.7,1.1,0.1,23.9,20.9,0.555,28.0,2005,9.3,0.634,1,0.032,1,0.9512195121951219
Amar'e Stoudemire,22,PHO,36.1,8.9,1.6,1.0,1.6,26.0,26.6,0.617,28.3,2005,13.1,0.7559999999999999,1,0.032,1,0.975609756097561
Chris Webber,28,SAC,38.4,10.1,4.8,1.7,1.4,24.5,24.4,0.54,29.0,2002,17.999999999999996,0.7440000000000001,1,0.028999999999999998,1,0.6585365853658537
Ben Wallace,28,DET,39.4,15.4,1.6,1.4,3.2,6.9,17.2,0.486,10.2,2003,21.599999999999998,0.61,1,0.027999999999999997,1,0.8902439024390244
Al Jefferson,29,CHA,35.0,10.8,2.1,0.9,1.1,21.8,22.7,0.532,29.3,2014,14.9,0.524,1,0.027000000000000003,1,0.8902439024390244
James Harden,23,HOU,38.3,4.9,5.8,1.8,0.5,25.9,23.0,0.6,29.0,2013,13.0,0.5489999999999999,1,0.027000000000000003,1,0.9512195121951219
Tim Duncan,29,SAS,34.8,11.0,3.2,0.9,2.0,18.6,23.1,0.523,27.7,2006,17.1,0.768,1,0.026000000000000002,1,0.975609756097561
Jason Kidd,29,NJN,37.4,6.3,8.9,2.2,0.3,18.7,22.2,0.526,25.9,2003,17.7,0.598,1,0.026000000000000002,1,0.975609756097561
Paul George,23,IND,36.2,6.8,3.5,1.9,0.3,21.7,20.1,0.555,28.3,2014,12.500000000000002,0.6829999999999999,1,0.026000000000000002,1,0.975609756097561
Dirk Nowitzki,23,DAL,38.0,9.9,2.4,1.1,1.0,23.4,24.1,0.599,25.5,2002,14.4,0.695,1,0.025,1,0.926829268292683
Gilbert Arenas,25,WAS,39.8,4.6,6.0,1.9,0.2,28.4,24.0,0.565,31.4,2007,12.7,0.5,1,0.024,1,0.9024390243902439
Allen Iverson,26,PHI,43.7,4.5,5.5,2.8,0.2,31.4,21.9,0.489,37.8,2002,13.0,0.524,1,0.023,1,0.7317073170731707
Jason Kidd,26,PHO,39.0,7.2,10.1,2.0,0.4,14.3,18.4,0.498,20.0,2000,19.7,0.6459999999999999,1,0.021,1,0.8170731707317073
Amar'e Stoudemire,25,PHO,33.9,9.1,1.5,0.8,2.1,25.2,27.6,0.6559999999999999,28.2,2008,13.5,0.6709999999999999,1,0.021,1,0.9634146341463414
LaMarcus Aldridge,28,POR,36.2,11.1,2.6,0.9,1.0,23.2,21.8,0.507,29.8,2014,15.6,0.659,1,0.021,1,0.8414634146341463
Ben Wallace,29,DET,37.7,12.4,1.7,1.8,3.0,9.5,17.3,0.441,15.3,2004,18.9,0.659,1,0.02,1,0.9878048780487805
Kevin Love,25,MIN,36.3,12.5,4.4,0.8,0.5,26.1,26.9,0.591,28.8,2014,18.2,0.488,0,0.02,1,0.9390243902439024
Damian Lillard,25,POR,35.7,4.0,6.8,0.9,0.4,25.1,22.2,0.56,31.3,2016,12.100000000000001,0.537,1,0.02,1,0.9146341463414634
Tim Duncan,31,SAS,34.0,11.3,2.8,0.7,1.9,19.3,24.4,0.546,28.2,2008,16.7,0.6829999999999999,1,0.02,1,0.9512195121951219
Dwyane Wade,29,MIA,37.1,6.4,4.6,1.5,1.1,25.5,25.6,0.581,31.6,2011,13.6,0.7070000000000001,1,0.02,1,0.926829268292683
Ben Wallace,27,DET,36.5,13.0,1.4,1.7,3.5,7.6,18.6,0.522,10.5,2002,19.6,0.61,1,0.019,1,0.975609756097561
Karl Malone,37,UTA,35.7,8.3,4.5,1.1,0.8,23.2,24.7,0.5720000000000001,30.0,2001,14.700000000000001,0.6459999999999999,1,0.017,1,0.9878048780487805
Paul Pierce,24,BOS,40.3,6.9,3.2,1.9,1.0,26.1,22.3,0.57,29.3,2002,13.000000000000002,0.598,1,0.017,1,1.0
Manu Ginobili,33,SAS,30.3,3.7,4.9,1.5,0.4,17.4,21.7,0.581,26.0,2011,10.500000000000002,0.7440000000000001,1,0.017,1,0.975609756097561
Tony Parker,31,SAS,29.4,2.3,5.7,0.5,0.1,16.7,18.9,0.555,26.5,2014,8.6,0.7559999999999999,1,0.017,1,0.8292682926829268
Tim Duncan,37,SAS,29.2,9.7,3.0,0.6,1.9,15.1,21.3,0.535,25.2,2014,15.2,0.7559999999999999,1,0.017,1,0.9024390243902439
Paul Pierce,31,BOS,37.5,5.6,3.6,1.0,0.3,20.5,17.7,0.5820000000000001,25.4,2009,10.5,0.7559999999999999,1,0.017,1,0.9878048780487805
Chris Webber,29,SAC,39.1,10.5,5.4,1.6,1.3,23.0,20.9,0.485,30.4,2003,18.8,0.72,1,0.016,1,0.8170731707317073
Jason Kidd,27,PHO,39.8,6.4,9.8,2.2,0.3,16.9,19.4,0.51,22.7,2001,18.700000000000003,0.622,1,0.015,1,0.9390243902439024
Tracy McGrady,28,HOU,37.0,5.1,5.9,1.0,0.5,21.6,18.4,0.48700000000000004,30.4,2008,12.5,0.6709999999999999,1,0.015,1,0.8048780487804879
Jason Kidd,30,NJN,36.6,6.4,9.2,1.8,0.2,15.5,19.7,0.485,24.6,2004,17.599999999999998,0.573,1,0.013999999999999999,1,0.8170731707317073
Steve Nash,33,PHO,34.3,3.5,11.1,0.7,0.1,16.9,21.1,0.6409999999999999,22.0,2008,15.399999999999999,0.6709999999999999,1,0.013999999999999999,1,0.9878048780487805
Kevin Garnett,25,MIN,39.2,12.1,5.2,1.2,1.6,21.2,23.8,0.536,26.0,2002,20.1,0.61,1,0.013000000000000001,1,0.9878048780487805
Michael Jordan,38,WAS,34.9,5.7,5.2,1.4,0.4,22.9,20.7,0.46799999999999997,36.0,2002,12.700000000000001,0.451,0,0.013000000000000001,1,0.7317073170731707
Kevin Garnett,28,MIN,38.1,13.5,5.7,1.5,1.4,22.2,28.2,0.5670000000000001,27.1,2005,22.099999999999998,0.537,0,0.012,1,1.0
Dwight Howard,26,ORL,38.3,14.5,1.9,1.5,2.1,20.6,24.2,0.569,26.1,2012,20.0,0.561,1,0.011000000000000001,1,0.8181818181818182
Rajon Rondo,25,BOS,36.9,4.8,11.7,1.8,0.1,11.9,17.5,0.483,20.7,2012,18.400000000000002,0.591,1,0.01,1,0.803030303030303
LeBron James,19,CLE,39.5,5.5,5.9,1.6,0.7,20.9,18.3,0.488,28.2,2004,13.7,0.42700000000000005,0,0.009000000000000001,1,0.9634146341463414
Kobe Bryant,22,LAL,40.9,5.9,5.0,1.7,0.6,28.5,24.5,0.552,31.8,2001,13.2,0.6829999999999999,1,0.009000000000000001,1,0.8292682926829268
Manu Ginobili,30,SAS,31.1,4.8,4.5,1.5,0.4,19.5,24.3,0.612,28.7,2008,11.200000000000001,0.6829999999999999,1,0.006999999999999999,1,0.9024390243902439
Tony Parker,23,SAS,33.9,3.3,5.8,1.0,0.1,18.9,20.8,0.584,27.1,2006,10.2,0.768,1,0.006999999999999999,1,0.975609756097561
Amar'e Stoudemire,28,NYK,36.8,8.2,2.6,0.9,1.9,25.3,22.7,0.565,30.9,2011,13.6,0.512,1,0.006999999999999999,1,0.9512195121951219
Tony Parker,26,SAS,34.1,3.1,6.9,0.9,0.1,22.0,23.4,0.556,31.7,2009,11.0,0.659,1,0.006999999999999999,1,0.8780487804878049
Russell Westbrook,24,OKC,34.9,5.2,7.4,1.8,0.3,23.2,23.9,0.532,32.8,2013,14.700000000000003,0.732,1,0.006999999999999999,1,1.0
James Harden,26,HOU,38.1,6.1,7.5,1.7,0.6,29.0,25.3,0.598,32.5,2016,15.899999999999999,0.5,1,0.006999999999999999,1,1.0
Dirk Nowitzki,35,DAL,32.9,6.2,2.7,0.9,0.6,21.7,23.6,0.603,26.9,2014,10.4,0.598,1,0.006,1,0.975609756097561
David Robinson,35,SAS,29.6,8.6,1.5,1.0,2.5,14.4,23.7,0.5589999999999999,22.8,2001,13.6,0.7070000000000001,1,0.006,1,0.975609756097561
Ray Allen,25,MIL,38.2,5.2,4.6,1.5,0.2,22.0,22.9,0.61,24.4,2001,11.5,0.634,1,0.006,1,1.0
Vince Carter,24,TOR,39.7,5.5,3.9,1.5,1.1,27.6,25.0,0.551,30.7,2001,12.0,0.573,1,0.006,1,0.9146341463414634
Brandon Roy,24,POR,37.2,4.7,5.1,1.1,0.3,22.6,24.0,0.573,27.4,2009,11.200000000000001,0.659,1,0.006,1,0.9512195121951219
Deron Williams,25,UTA,36.9,4.0,10.5,1.3,0.2,18.7,20.6,0.574,23.8,2010,16.0,0.6459999999999999,1,0.006,1,0.926829268292683
Steve Nash,37,PHO,31.6,3.0,10.7,0.6,0.1,12.5,20.3,0.625,19.6,2012,14.399999999999999,0.5,0,0.006,1,0.9393939393939394
Kyle Lowry,29,TOR,37.0,4.7,6.4,2.1,0.4,21.2,22.2,0.578,26.1,2016,13.600000000000001,0.6829999999999999,1,0.005,1,0.9390243902439024
Dwyane Wade,30,MIA,33.2,4.8,4.6,1.7,1.3,22.1,26.3,0.5589999999999999,31.3,2012,12.399999999999999,0.6970000000000001,1,0.005,1,0.7424242424242424
