Player,Age,Tm,MP,TRB,AST,STL,BLK,PS/G,PER,TS%,USG%,Year,box,W/L%,playoffs,Share,got_votes,gp_pct
Corey Maggette,25,LAC,36.9,6.0,3.4,1.1,0.1,22.2,19.9,0.574,27.9,2005,10.6,0.451,0,0.0,0,0.8048780487804879
Jamaal Magloire,26,NOH,30.6,8.9,1.3,0.3,1.0,11.7,12.9,0.48,22.5,2005,11.500000000000002,0.22,0,0.0,0,0.2804878048780488
Stephon Marbury,27,NYK,40.0,3.0,8.1,1.5,0.1,21.7,21.9,0.575,24.8,2005,12.7,0.402,0,0.0,0,1.0
Donyell Marshall,31,TOR,25.3,6.6,1.2,0.9,0.7,11.5,19.9,0.591,18.7,2005,9.399999999999999,0.402,0,0.0,0,0.7926829268292683
Kenyon Martin,27,DEN,32.5,7.3,2.4,1.4,1.1,15.5,17.5,0.521,23.4,2005,12.2,0.598,1,0.0,0,0.8536585365853658
Desmond Mason,27,MIL,36.2,3.9,2.7,0.7,0.3,17.2,14.8,0.526,23.2,2005,7.6,0.366,0,0.0,0,0.975609756097561
Jeff McInnis,30,CLE,34.9,2.1,5.1,0.7,0.0,12.8,12.4,0.495,18.8,2005,7.8999999999999995,0.512,0,0.0,0,0.926829268292683
Keith McLeod,25,UTA,26.1,2.1,4.5,1.2,0.2,7.8,10.4,0.44,19.0,2005,8.0,0.317,0,0.0,0,0.6463414634146342
Darius Miles,23,POR,27.0,4.7,2.0,1.2,1.2,12.8,15.5,0.511,25.7,2005,9.1,0.32899999999999996,0,0.0,0,0.7682926829268293
Andrei Kirilenko,23,UTA,32.9,6.2,3.2,1.6,3.3,15.6,24.4,0.599,21.3,2005,14.3,0.317,0,0.0,0,0.5
Chris Kaman,22,LAC,25.9,6.7,1.2,0.4,1.1,9.1,13.1,0.522,18.8,2005,9.4,0.451,0,0.0,0,0.7682926829268293
Kirk Hinrich,24,CHI,36.4,3.9,6.4,1.6,0.3,15.7,15.3,0.495,22.3,2005,12.200000000000001,0.573,1,0.0,0,0.9390243902439024
Fred Jones,25,IND,29.5,3.1,2.5,0.8,0.4,10.6,13.3,0.551,18.0,2005,6.8,0.537,1,0.0,0,0.9390243902439024
Dwight Howard,19,ORL,32.6,10.0,0.9,0.9,1.7,12.0,17.2,0.5710000000000001,16.7,2005,13.5,0.439,0,0.0,0,1.0
Josh Howard,24,DAL,32.2,6.4,1.4,1.5,0.6,12.6,15.8,0.535,18.6,2005,9.9,0.7070000000000001,1,0.0,0,0.926829268292683
Juwan Howard,31,HOU,26.6,5.7,1.5,0.5,0.1,9.6,13.0,0.494,19.5,2005,7.8,0.622,1,0.0,0,0.7439024390243902
Larry Hughes,26,WAS,38.7,6.3,4.7,2.9,0.3,22.0,21.6,0.523,26.6,2005,14.200000000000001,0.5489999999999999,1,0.0,0,0.7439024390243902
Andre Iguodala,21,PHI,32.8,5.7,3.0,1.7,0.6,9.0,13.5,0.58,12.8,2005,10.999999999999998,0.524,1,0.0,0,1.0
Zydrunas Ilgauskas,29,CLE,33.5,8.6,1.3,0.7,2.1,16.9,19.5,0.55,24.1,2005,12.7,0.512,0,0.0,0,0.9512195121951219
Stephen Jackson,26,IND,35.4,4.9,2.3,1.3,0.3,18.7,15.9,0.518,27.7,2005,8.8,0.537,1,0.0,0,0.6219512195121951
Antawn Jamison,28,WAS,38.3,7.6,2.3,0.8,0.2,19.6,16.9,0.506,24.1,2005,10.899999999999999,0.5489999999999999,1,0.0,0,0.8292682926829268
Marko Jaric,26,LAC,33.1,3.2,6.1,1.7,0.3,9.9,13.9,0.5,16.5,2005,11.3,0.451,0,0.0,0,0.6097560975609756
Richard Jefferson,24,NJN,41.1,7.3,4.0,1.0,0.5,22.2,16.6,0.537,28.2,2005,12.8,0.512,1,0.0,0,0.4024390243902439
